NEIGHBOURHOOD_CLEANSED,BOOKED_NIGHTS,TOTAL_NIGHTS,OCCUPANCY_RATE
South Lake Union,5388,9855,54.672800
South Beacon Hill,727,1460,49.794500
North Beach/Blue Ridge,2484,5110,48.610600
Seaview,2089,4380,47.694100
Riverview,1331,2920,45.582200
Montlake,3029,6935,43.677000
Madrona,7460,17155,43.485900
Lower Queen Anne,14840,34310,43.252700
Genesee,5263,12410,42.409300
First Hill,16120,39420,40.892900
Haller Lake,2211,5475,40.383600
Wedgwood,2634,6570,40.091300
East Queen Anne,11996,29930,40.080200
International District,2478,6205,39.935500
Atlantic,7558,19345,39.069500
Westlake,2413,6205,38.888000
Adams,9807,25550,38.383600
Mount Baker,6994,18250,38.323300
Belltown,32090,85410,37.571700
Broadway,54421,144905,37.556300
