NEIGHBOURHOOD_CLEANSED,WEEKEND_OCCUPANCY_RATE,WEEKDAY_OCCUPANCY_RATE,OCCUPANCY_UPLIFT,WEEKEND_LISTED_ADR,WEEKDAY_LISTED_ADR,LISTED_PREMIUM
Briarcliff,0.134615,0.134647,-0.000032,222.304761905,213.60056926,8.704192645
Pioneer Square,0.213629,0.211561,0.002068,185.935672515,179.511726178,6.423946337
Belltown,0.376438,0.375430,0.001008,205.860032949,199.727513436,6.132519513
Pike-Market,0.338942,0.328818,0.010124,210.083116883,204.551885831,5.531231052
Green Lake,0.313746,0.310700,0.003046,163.869745719,158.548944931,5.320800788
Haller Lake,0.411538,0.400766,0.010772,113.483660131,108.396419437,5.087240693
West Queen Anne,0.323817,0.323843,-0.000026,210.141106979,205.482172435,4.658934544
Central Business District,0.270631,0.271361,-0.000730,208.718929988,204.622728201,4.096201788
Arbor Heights,0.238462,0.238314,0.000148,142.835858586,138.769617706,4.06624088
Mann,0.285017,0.285698,-0.000681,146.777197912,142.748378833,4.02881908
North Admiral,0.271193,0.270936,0.000257,155.46553581,151.800729301,3.66480651
Industrial District,0.149038,0.141762,0.007276,168.760828625,165.116071429,3.644757197
Atlantic,0.389695,0.391094,-0.001399,125.362960761,121.855752107,3.507208654
Minor,0.303704,0.300440,0.003264,125.577741408,122.094527161,3.483214246
Lawton Park,0.292949,0.290677,0.002272,162.929283772,159.486136118,3.443147653
Adams,0.385714,0.383087,0.002627,133.136404293,129.703575548,3.432828746
Fairmount Park,0.251989,0.254195,-0.002206,125.934397163,122.545084145,3.389313018
North Beach/Blue Ridge,0.491071,0.484127,0.006944,124.663967611,121.39469496,3.269272651
Fauntleroy,0.375962,0.356322,0.019640,208.17257319,204.997619048,3.174954142
East Queen Anne,0.401501,0.400523,0.000978,186.056818182,182.950896337,3.105921845
Ravenna,0.381889,0.370904,0.010985,91.045739494,88.073811472,2.971928022
Lower Queen Anne,0.427578,0.434499,-0.006921,158.871515368,155.911272885,2.960242484
Montlake,0.432186,0.438596,-0.006410,144.235294118,141.298491379,2.936802738
North Queen Anne,0.320157,0.323116,-0.002959,159.191723415,156.277987421,2.913735994
Leschi,0.308962,0.305212,0.003750,134.368600683,131.455519717,2.913080966
Brighton,0.316568,0.314176,0.002392,143.088744589,140.226042114,2.862702474
Westlake,0.388009,0.389227,-0.001218,231.784658041,228.948708487,2.835949554
North Beacon Hill,0.314349,0.311475,0.002874,105.966379,103.141613755,2.824765246
First Hill,0.405360,0.410352,-0.004992,155.67345411,152.996751098,2.676703012
